1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 
1 2 3 4 5 6 7 8 9 10 11 12 12 14 15 
1 2 3 3 5 6 7 8 8 10 11 12 12 14 15 
1 2 2 2 5 5 7 16 8 10 11 12 12 12 15 
1 2 2 2 5 5 7 16 8 10 11 17 12 18 15 
1 2 19 2 5 5 7 16 8 10 11 11 12 12 15 
1 2 2 2 5 5 7 16 8 10 11 20 12 12 15 
1 2 21 2 5 5 7 16 8 10 11 20 22 12 15 
1 2 21 2 5 5 7 7 8 10 11 20 22 12 15 
1 23 21 2 5 5 7 24 8 10 11 20 20 12 15 
1 23 21 2 5 5 7 24 8 8 11 20 20 12 15 
1 23 21 2 5 5 5 24 8 8 11 20 25 12 15 
1 23 21 2 2 2 2 24 8 8 11 20 25 12 15 
1 23 21 2 2 2 2 24 26 8 11 20 25 12 15 
1 23 21 0 2 2 0 24 26 8 11 20 25 12 15 
